"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Unbreakable ",106,"M. Night Shyamalan",0,"Robin Wright",18000,"Bruce Willis",13000,"Michael Kelly",963,294,1344,245152,33645,0,"child with gun|comic book|invulnerability|superhero|train crash",0,"Color","Drama|Mystery|Sci-Fi|Thriller",2000,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1",94999143,7.5e+07,7.2
"Paul Blart: Mall Cop ",91,"Steve Carr",41,"Erick Avari",567,"Adhir Kalyan",402,"Allen Covert",328,167,201,84209,2954,0,"cell phone|hostage|mall|security guard|text messaging",1,"Color","Action|Comedy|Crime",2009,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1114740/?ref_=fn_tt_tt_1",20819129,2.6e+07,5.2
"The Happening ",91,"M. Night Shyamalan",0,"Zooey Deschanel",11000,"Alan Ruck",946,"Kristen Connolly",751,323,1264,163130,13654,6000,"bee|nature|park|school|teacher",0,"Color","Sci-Fi|Thriller",2008,"English","USA","R",1.85,"http://www.imdb.com/title/tt0949731/?ref_=fn_tt_tt_1",64505912,4.8e+07,5
"Idlewild ",121,"Bryan Barber",16,"Cicely Tyson",907,"Faizon Love",585,"Bobb'e J. Thompson",526,81,91,4603,3633,489,"gangster|playing piano|song and dance|speakeasy|written and directed by cast member",4,"Color","Crime|Drama|Musical|Romance",2006,"English","USA","R",2.35,"http://www.imdb.com/title/tt0417225/?ref_=fn_tt_tt_1",12549485,1.5e+07,6.2
"The Greatest ",96,"Shana Feste",19,"Jennifer Ehle",1000,"Zoë Kravitz",943,"Cara Seymour",71,63,50,7394,2163,0,"car crash|loss|self help group|teenage mother|title directed by female",2,"Color","Drama|Romance",2009,"English","USA","R",2.35,"http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1",115862,6e+06,6.7
"Talk Radio ",110,"Oliver Stone",0,"Michael Wincott",721,"Zach Grenier",246,"Bill Johnson",237,40,78,10073,1966,816,"listener|neo nazi|radio|radio station|radio talk show",0,"Color","Drama",1988,"English","USA","R",1.85,"http://www.imdb.com/title/tt0096219/?ref_=fn_tt_tt_1",3468572,4e+06,7.3
"Gremlins ",106,"Joe Dante",287,"Phoebe Cates",767,"Harry Carey Jr.",281,"Zach Galligan",233,183,245,142293,2053,14000,"bright light|midnight|pet|small town|water",0,"Color","Comedy|Fantasy|Horror",1984,"English","USA","PG",2.2,"http://www.imdb.com/title/tt0087363/?ref_=fn_tt_tt_1",148170000,1.1e+07,7.2
"Drumline ",118,"Charles Stone III",30,"Leonard Roberts",962,"Nick Cannon",593,"Jason Weaver",284,64,185,28649,2390,2000,"drumline|drummer|fish out of water|marching band|university",0,"Color","Comedy|Drama|Music|Romance",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1",56398162,2e+07,5.7
"Renaissance Man ",128,"Penny Marshall",545,"Ed Begley Jr.",783,"Cliff Robertson",754,"Lillo Brancato",353,12,61,13830,3126,680,"army|basic training|reference to shakespeare's hamlet|teacher|u.s. army",1,"Color","Comedy|Drama",1994,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0110971/?ref_=fn_tt_tt_1",24332324,4e+07,6.1
"The Expendables 3 ",131,"Patrick Hughes",385,"Jason Statham",26000,"Sylvester Stallone",13000,"Harrison Ford",11000,320,351,127258,52610,56000,"battle|fight|mission|pg 13 sequel to r rated franchise|rescue",15,"Color","Action|Adventure|Thriller",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2333784/?ref_=fn_tt_tt_1",39292022,9e+07,6.1
"Hall Pass ",111,"Bobby Farrelly",101,"Jenna Fischer",966,"Larry Joe Campbell",919,"Stephen Merchant",681,237,143,103230,3393,10000,"drugged food|female frontal nudity|male frontal nudity|male nudity|marriage",3,"Color","Comedy|Romance",2011,"English","USA","R",2.35,"http://www.imdb.com/title/tt0480687/?ref_=fn_tt_tt_1",45045037,3.6e+07,5.9
"She's Gotta Have It ",88,"Spike Lee",0,"S. Epatha Merkerson",539,"Joie Lee",53,"Tracy Camilla Johns",46,26,26,4769,708,406,"female nudity|male model|nudity|rite of passage|sex",0," Black and White","Comedy|Romance",1986,"English","USA","R",1.85,"http://www.imdb.com/title/tt0091939/?ref_=fn_tt_tt_1",7137502,175000,6.5
"BloodRayne ",92,"Uwe Boll",892,"Meat Loaf",783,"Udo Kier",595,"Michael Paré",492,143,471,30628,2930,937,"escape|half human|king|vampire|vampire hunter",2,"Color","Action|Adventure|Fantasy|Horror",2005,"English","USA","R",2.35,"http://www.imdb.com/title/tt0383222/?ref_=fn_tt_tt_1",1550000,2.5e+07,2.9
"Living Out Loud ",100,"Richard LaGravenese",98,"Holly Hunter",1000,"Eddie Cibrian",849,"Jenette Goldstein",604,24,88,4052,3250,242,"brooklyn bridge|divorce|female protagonist|female star appears nude|lingerie slip",1,"Color","Comedy|Drama|Romance",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0120722/?ref_=fn_tt_tt_1",12902790,1.2e+07,6.6
"16 Blocks ",102,"Richard Donner",503,"Bruce Willis",13000,"David Zayas",929,"Sasha Roiz",795,199,305,112769,15053,0,"alcoholic|courthouse|detective|jail|witness",2,"Color","Action|Crime|Drama|Thriller",2006,"English","Germany","PG-13",2.35,"http://www.imdb.com/title/tt0450232/?ref_=fn_tt_tt_1",36883539,5.2e+07,6.6
"Fantasia 2000 ",74,"James Algar",11,"Quincy Jones",340,"Penn Jillette",243,"Russi Taylor",62,129,186,27543,814,607,"abstract|ark|disney|fairy tale|piano",0,"Color","Animation|Family|Fantasy|Music",1999,"English","USA","G",1.78,"http://www.imdb.com/title/tt0120910/?ref_=fn_tt_tt_1",60507228,8e+07,7.3
"Persepolis ",89,"Vincent Paronnaud",10,"Catherine Deneuve",963,"Gena Rowlands",545,"Danielle Darrieux",106,242,158,70194,1754,14000,"dream|girl|iran|islamic revolution|revolution",0,"Color","Animation|Biography|Drama|War",2007,"French","France","PG-13",1.85,"http://www.imdb.com/title/tt0808417/?ref_=fn_tt_tt_1",4443403,7300000,8
"The Holy Girl ",106,"Lucrecia Martel",33,"Mía Maestro",341,"Mercedes Morán",5,"María Alche",3,78,37,2720,358,57,"16 year old|doctor|hotel|tinnitus|title directed by female",0,"Color","Drama",2004,"Spanish","Argentina","R",1.85,"http://www.imdb.com/title/tt0300270/?ref_=fn_tt_tt_1",304124,1400000,6.7
"Burnt ",101,"John Wells",53,"Bradley Cooper",14000,"Omar Sy",1000,"Riccardo Scamarcio",580,175,129,61360,16926,25000,"chef|gay kiss|michelin star|restaurant|violent behavior",1,"Color","Comedy|Drama",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt2503944/?ref_=fn_tt_tt_1",13650738,2e+07,6.6
"The Devil Wears Prada ",109,"David Frankel",64,"Meryl Streep",11000,"Anne Hathaway",11000,"Rebecca Mader",505,208,631,286178,23923,0,"fashion|fashion industry|magazine|new york city|publishing",0,"Color","Comedy|Drama|Romance",2006,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1",124732962,3.5e+07,6.8
"The Quick and the Dead ",107,"Sam Raimi",0,"Leonardo DiCaprio",29000,"Pat Hingle",165,"Roberts Blossom",159,63,216,69197,29743,0,"authority figure as villian|gun duel|saved from hanging|showdown|street shootout",0," Black and White","Action|Thriller|Western",1995,"English","Japan","R",1.85,"http://www.imdb.com/title/tt0114214/?ref_=fn_tt_tt_1",18636537,3.2e+07,6.4
"Good Boy! ",87,"John Hoffman",9,"Liam Aiken",818,"Molly Shannon",636,"Kevin Nealon",503,52,48,3407,2164,309,"dog|friend|neighborhood|planet|star",1,"Color","Comedy|Drama|Family|Fantasy|Sci-Fi",2003,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1",37566230,1.7e+07,5.1
"Hobo with a Shotgun ",86,"Jason Eisener",59,"Gregory Smith",694,"Robb Wells",324,"Molly Dunsworth",104,272,230,37495,1249,37000,"hobo|pedophile|rampage|shotgun|vigilante",4,"Color","Action|Comedy|Thriller",2011,"English","Canada","Not Rated",2.35,"http://www.imdb.com/title/tt1640459/?ref_=fn_tt_tt_1",703002,3e+06,6.1
"Snow Day ",89,"Chris Koch",13,"Chris Elliott",571,"Mark Webber",442,"Jean Smart",329,42,91,9285,2241,0,"meteorologist|snow|snowed in|snowplow|weather",1,"Color","Adventure|Comedy|Family",2000,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0184907/?ref_=fn_tt_tt_1",60008303,1.3e+07,4.9
"Goldfinger ",110,"Guy Hamilton",82,"Honor Blackman",387,"Gert Fröbe",202,"Lois Maxwell",177,164,418,139432,1198,0,"bikini|covered in melted gold|fort knox|gold|pilot",2,"Color","Action|Adventure|Thriller",1964,"English","UK","Approved",1.37,"http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1",51100000,3e+06,7.8
"Stop-Loss ",112,"Kimberly Peirce",108,"Joseph Gordon-Levitt",23000,"Channing Tatum",17000,"Abbie Cornish",2000,143,99,17757,43560,982,"friendship|honor|iraq war|soldier|texas",2,"Color","Drama|War",2008,"English","USA","R",1.85,"http://www.imdb.com/title/tt0489281/?ref_=fn_tt_tt_1",10911750,2.5e+07,6.5
"Lights Out ",81,"David F. Sandberg",26,"Billy Burke",2000,"Amiah Miller",509,"Gabriel Bateman",300,159,95,13523,3344,0,"based on short film|reference to avenged sevenfold|reference to slayer|switching lights on and off|two word title",0,"Color","Horror",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt4786282/?ref_=fn_tt_tt_1",56536016,4900000,6.9
"This Is the End ",107,"Evan Goldberg",133,"Channing Tatum",17000,"James Franco",11000,"Emma Watson",9000,418,669,310540,38751,97000,"apocalypse|celebrity|ensemble cast|party|rapture",6,"Color","Comedy|Fantasy",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1",101470202,3.2e+07,6.7
"The Fifth Estate ",128,"Bill Condon",386,"Benedict Cumberbatch",19000,"Peter Capaldi",17000,"Jamie Blackley",203,224,105,29282,36337,11000,"computer hacker|internet|news leak|whistleblowing|wikileaks",1,"Color","Biography|Drama|Thriller",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt1837703/?ref_=fn_tt_tt_1",3254172,2.8e+07,6.2
"The Lazarus Effect ",83,"David Gelb",26,"Olivia Wilde",10000,"Mark Duplass",830,"Donald Glover",801,152,126,28513,11771,0,"electrocuted|experiment|hell|serum|university",0,"Color","Horror|Sci-Fi|Thriller",2015,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1",25799043,3300000,5.2
"Oceans ",104,"Jacques Perrin",63,"Pedro Armendáriz Jr.",67,"Jacques Perrin",63,"Rie Miyazawa",7,113,42,7630,152,0,"damselfish|ocean habitat|ocean life|razorfish|spider crab",0,"Color","Documentary|Drama",2009,"French","France","G",2.35,"http://www.imdb.com/title/tt0765128/?ref_=fn_tt_tt_1",19406406,4e+07,7.8
"Digimon: The Movie ",82,"Mamoru Hosoda",99,"Lara Jill Miller",93,"Colleen O'Shaughnessey",45,"Mona Marshall",44,29,65,5164,315,207,"based on video game|box office hit|computer|digimon|internet",0,"Color","Action|Adventure|Animation|Family|Sci-Fi",2000,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0259974/?ref_=fn_tt_tt_1",9628751,5e+06,5.9
"Cradle 2 the Grave ",101,"Andrzej Bartkowiak",43,"Jet Li",5000,"Tom Arnold",618,"DMX",432,109,185,34942,6867,1000,"camera shot from inside human body|diamond|evil man|heist|terrorism",2,"Color","Action|Crime|Drama|Thriller",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1",34604054,3e+07,5.8
"Fiza ",167,"Khalid Mohamed",10,"Karisma Kapoor",353,"Manoj Bajpayee",186,"Jaya Bhaduri",97,1,19,2715,773,92,"mumbai riots|politician|riot|suicide|tragic event",3," Black and White","Drama|Romance",2000,"Hindi","India","",2.35,"http://www.imdb.com/title/tt0248012/?ref_=fn_tt_tt_1",610991,1e+06,6.2
"Annie Get Your Gun ",107,"George Sidney",24,"Keenan Wynn",277,"Howard Keel",244,"Betty Hutton",83,21,90,3167,731,456,"girl|gun|love|sharpshooter|the end",0,"Color","Biography|Comedy|Musical|Romance|Western",1950,"English","USA","Passed",1.37,"http://www.imdb.com/title/tt0042200/?ref_=fn_tt_tt_1",8000000,3768785,7
"Snake Eyes ",98,"Brian De Palma",0,"Nicolas Cage",12000,"Mike Starr",854,"John Heard",697,117,241,64121,15269,880,"assassination|boxing|casino|conspiracy|long take",1,"Color","Crime|Mystery|Thriller",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0120832/?ref_=fn_tt_tt_1",55585389,6.9e+07,5.9
"Tea with Mussolini ",117,"Franco Zeffirelli",160,"Lily Tomlin",718,"Joan Plowright",330,"Paolo Seganti",55,62,157,9323,1148,970,"ambassador|american|art|english|italy",6,"Color","Comedy|Drama|War",1999,"English","Italy","PG",1.85,"http://www.imdb.com/title/tt0120857/?ref_=fn_tt_tt_1",14348123,1.2e+07,6.9
"Dreamcatcher ",136,"Lawrence Kasdan",759,"Morgan Freeman",11000,"Michael O'Neill",599,"Reece Thompson",354,175,662,75573,12194,4000,"alien|friend|maine|military|woods",1,"Color","Drama|Horror|Sci-Fi|Thriller",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0285531/?ref_=fn_tt_tt_1",33685268,6.8e+07,5.5
"Once Upon a Time in America ",251,"Sergio Leone",0,"Robert De Niro",22000,"Burt Young",683,"Treat Williams",642,111,495,221000,24719,12000,"1920s|ambiguity|childhood friend|new york|speakeasy",8,"Color","Crime|Drama",1984,"English","Italy","R",1.85,"http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1",5300000,3e+07,8.4
"She's the Man ",105,"Andy Fickman",99,"Channing Tatum",17000,"Alexandra Breckenridge",1000,"Laura Ramsey",960,91,261,116762,20109,0,"disguise|roommate|school|soccer|twin",0,"Color","Comedy|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1",33687630,2e+07,6.4
"Victor Frankenstein ",110,"Paul McGuigan",118,"Daniel Radcliffe",11000,"Spencer Wilding",1000,"Daniel Mays",287,159,91,28618,12876,11000,"assistant|experiment|frankenstein|medical student|scientist",2,"Color","Drama|Horror|Sci-Fi|Thriller",2015,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1976009/?ref_=fn_tt_tt_1",5773519,4e+07,6
"Swordfish ",99,"Dominic Sena",57,"Hugh Jackman",20000,"Don Cheadle",3000,"Sam Shepard",820,166,543,155532,25942,0,"computer|secret agent|terrorism|told in flashback|wearing a sound wire",4,"Color","Action|Crime|Thriller",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0244244/?ref_=fn_tt_tt_1",69772969,8e+07,6.5
"S.W.A.T. ",117,"Clark Johnson",69,"Jeremy Renner",10000,"Josh Charles",1000,"LL Cool J",1000,144,340,119807,14486,0,"hostage|police|prison|swat team|training",1,"Color","Action|Adventure|Crime|Thriller",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1",116643346,8e+07,6
"The Odd Life of Timothy Green ",105,"Peter Hedges",54,"Jennifer Garner",3000,"Odeya Rush",2000,"Common",988,169,110,37398,9069,11000,"dodgeball|portrait|soccer|soccer game|young love",0,"Color","Comedy|Drama|Family|Fantasy",2012,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1",51853450,2.5e+07,6.6
"Meet the Fockers ",106,"Jay Roach",116,"Robert De Niro",22000,"Blythe Danner",713,"Teri Polo",708,141,428,211296,24938,0,"bare butt|defecation|father in law son in law relationship|nurse|sexual innuendo in title",6,"Color","Comedy|Romance",2004,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0290002/?ref_=fn_tt_tt_1",279167575,8e+07,6.3
"The New Guy ",92,"Ed Decter",13,"Zooey Deschanel",11000,"Eddie Griffin",489,"Gene Simmons",301,49,159,28805,12687,1000,"cheerleader|geek|high school|prison|reference to janet jackson",1,"Color","Comedy",2002,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1",28972187,1.3e+07,5.9
"Crank: High Voltage ",96,"Mark Neveldine",83,"Jason Statham",26000,"Clifton Collins Jr.",968,"David Carradine",926,150,223,112516,30541,0,"artificial heart|heart|horse penis|prostitute|stripper",0,"Color","Action|Crime|Sci-Fi|Thriller",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1121931/?ref_=fn_tt_tt_1",13630226,2e+07,6.2
"Madea's Family Reunion ",107,"Tyler Perry",0,"Boris Kodjoe",1000,"Cicely Tyson",907,"Blair Underwood",685,46,137,8962,5264,676,"cross dressing|family reunion|madea series|reflective|sister sister relationship",4,"Color","Comedy|Drama|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1",63231524,6e+06,5
"Snakes on a Plane ",105,"David R. Ellis",160,"Lin Shaye",852,"Kenan Thompson",521,"Rachel Blanchard",491,285,1033,115649,2604,4000,"baby rattle|famous line|murder|passenger|snake",0,"Color","Action|Adventure|Crime|Drama|Thriller",2006,"English","Germany","R",2.35,"http://www.imdb.com/title/tt0417148/?ref_=fn_tt_tt_1",34014398,3.3e+07,5.6
"Traffic ",190,"Steven Soderbergh",0,"Michael O'Neill",599,"Jacob Vargas",399,"James Lew",215,223,867,170684,1418,0,"cocaine|drug smuggling|interlinked stories|judge|mexico",0,"Color","Crime|Drama|Thriller",2000,"English","USA","R",1.85,"http://www.imdb.com/title/tt0181865/?ref_=fn_tt_tt_1",124107476,4.8e+07,7.6
"The Score ",124,"Frank Oz",0,"Robert De Niro",22000,"Marlon Brando",10000,"Gary Farmer",580,141,445,101899,32871,0,"partner|running|scepter|surveillance|thief",0,"Color","Crime|Drama|Thriller",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0227445/?ref_=fn_tt_tt_1",71069884,6.8e+07,6.8
"Nick and Norah's Infinite Playlist ",90,"Peter Sollett",6,"Ari Graynor",904,"Alexis Dziena",715,"Aaron Yoo",617,166,129,74887,2807,0,"band|gay|gay friend|love|night",2,"Color","Comedy|Drama|Music|Romance",2008,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0981227/?ref_=fn_tt_tt_1",31487293,9e+06,6.7
"The Man with the Golden Gun ",125,"Guy Hamilton",82,"Christopher Lee",16000,"Hervé Villechaize",387,"Desmond Llewelyn",244,118,258,73950,17611,2000,"assassin|bikini|girl in a bikini|mission|secret agent",3,"Color","Action|Adventure|Thriller",1974,"English","UK","PG",1.66,"http://www.imdb.com/title/tt0071807/?ref_=fn_tt_tt_1",21000000,1.3e+07,6.8
"I Am Legend ",104,"Francis Lawrence",508,"Will Smith",10000,"Alice Braga",1000,"Willow Smith",558,323,1413,530870,13076,11000,"new york city|pandemic|post apocalypse|survivalist|virus",0,"Color","Drama|Horror|Sci-Fi",2007,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1",256386216,1.5e+08,7.2
"Chasing Liberty ",101,"Andy Cadiff",3,"Annabella Sciorra",448,"Stark Sands",143,"Terence Maynard",120,65,129,30092,842,0,"first daughter|photographer|prague|president|secret service agent",0,"Color","Comedy|Romance",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0360139/?ref_=fn_tt_tt_1",12189514,2.3e+07,6.1
"The Lovely Bones ",135,"Peter Jackson",0,"Michael Imperioli",873,"AJ Michalka",560,"Tom McCarthy",310,308,593,125109,2370,16000,"1970s|afterlife|heaven|pedophile|rape",1,"Color","Drama|Fantasy|Thriller",2009,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0380510/?ref_=fn_tt_tt_1",43982842,6.5e+07,6.7
"Bless the Child ",107,"Chuck Russell",55,"Rufus Sewell",3000,"Jimmy Smits",941,"Angela Bettis",294,100,188,12093,4565,394,"easter|fbi|luminol|nurse|omen",0,"Color","Crime|Drama|Horror|Thriller",2000,"English","USA","R",2.35,"http://www.imdb.com/title/tt0163983/?ref_=fn_tt_tt_1",29374178,4e+07,5.1
"I, Robot ",115,"Alex Proyas",295,"Will Smith",10000,"Bruce Greenwood",981,"Chi McBride",466,225,789,387632,12068,0,"humanoid robot|man versus machine|prosthetic limb|robot as pathos|robot vs. robot",1,"Color","Action|Mystery|Sci-Fi|Thriller",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0343818/?ref_=fn_tt_tt_1",144795350,1.2e+08,7.1
"Concussion ",123,"Peter Landesman",15,"Will Smith",10000,"Eddie Marsan",979,"Albert Brooks",745,219,138,44788,13371,23000,"chronic traumatic encephalopathy|concussion|football|football player|pathologist",0,"Color","Biography|Drama|Sport",2015,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt3322364/?ref_=fn_tt_tt_1",34531832,3.5e+07,7.1
"Harry Potter and the Chamber of Secrets ",174,"Chris Columbus",0,"Daniel Radcliffe",11000,"Rupert Grint",10000,"Emma Watson",9000,232,858,387616,35672,0,"bildungsroman|flying broom|invisibility cloak|monster|wizardry",1,"Color","Adventure|Family|Fantasy|Mystery",2002,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1",261970615,1e+08,7.4
"In Too Deep ",95,"Michael Rymer",48,"LL Cool J",1000,"Omar Epps",865,"Nia Long",826,28,29,4598,4837,375,"cunnilingus|oral sex|police|sex scene|undercover",1,"Color","Crime|Drama|Thriller",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1",14003141,7e+06,6.1
"Harry Potter and the Order of the Phoenix ",138,"David Yates",282,"Robert Pattinson",21000,"Daniel Radcliffe",11000,"Fiona Shaw",687,329,1108,355137,33433,0,"battle|magic|school|teacher|wizard",3,"Color","Adventure|Family|Fantasy|Mystery",2007,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1",292000866,1.5e+08,7.5
"Richard III ",104,"Richard Loncraine",12,"Robert Downey Jr.",21000,"Jim Broadbent",1000,"Kristin Scott Thomas",1000,56,88,11612,23962,0,"1930s|abuse of power|england|king|murder",3,"Color","Drama|War",1995,"English","UK","R",2.35,"http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1",2600000,6e+06,7.5
"The Woman in Black ",95,"James Watkins",43,"Daniel Radcliffe",11000,"Roger Allam",326,"Jessica Raine",259,462,509,139749,11946,29000,"afterlife|baby boy|bird in a cage|ghost|reunited family",0,"Color","Drama|Fantasy|Horror|Thriller",2012,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt1596365/?ref_=fn_tt_tt_1",54322273,1.7e+07,6.4
"Ice Age: Continental Drift ",88,"Steve Martino",20,"Peter Dinklage",22000,"Josh Gad",1000,"Drake",916,233,139,145321,25354,14000,"acorn|herd|iceberg|ocean|pirate",0,"Color","Adventure|Animation|Comedy|Family",2012,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1",161317423,9.5e+07,6.6
