"","movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score","ROE","ROE_B","ROI","scs"
"47","Police Academy ",96,"Hugh Wilson",37,"Steve Guttenberg",801,"Bubba Smith",760,"Michael Winslow",542,45,133,87739,3113,0,"misfit|police|police academy|police cadet|police officer",0,"Color","Comedy",1984,"English","USA","R",1.85,"http://www.imdb.com/title/tt0087928/?ref_=fn_tt_tt_1",81200000,4500000,6.7,17.04,1,17.0444444444444,1
"49","Star Trek IV: The Voyage Home ",119,"Leonard Nimoy",12000,"Leonard Nimoy",12000,"Nichelle Nichols",664,"Walter Koenig",643,106,219,61621,15449,0,"alien probe|humpback whales|probe|time travel|whale",5,"Color","Adventure|Comedy|Sci-Fi",1986,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0092007/?ref_=fn_tt_tt_1",109713132,25000000,7.3,3.39,1,3.38852528,1
"51","The Running Man ",101,"Paul Michael Glaser",343,"Yaphet Kotto",581,"Maria Conchita Alonso",571,"Richard Dawson",384,120,226,112669,2373,0,"game of death|government conspiracy|latina|oppression|police",1,"Color","Action|Crime|Sci-Fi|Thriller",1987,"English","USA","R",1.37,"http://www.imdb.com/title/tt0093894/?ref_=fn_tt_tt_1",38122105,27000000,6.6,0.41,0,0.411929814814815,0
"53","When the Cat's Away ",91,"Cédric Klapisch",82,"Simon Abkarian",75,"Zinedine Soualem",9,"Jane Bradbury",8,29,25,2843,102,166,"cat|homosexual sex|male homosexuality|neighborhood|noisy neighbor",7,"Color","Comedy|Romance",1996,"French","France","R",1.66,"http://www.imdb.com/title/tt0115856/?ref_=fn_tt_tt_1",1652472,300000,6.9,4.51,1,4.50824,1
"57","Pinocchio ",88,"Norman Ferguson",3,"Mel Blanc",1000,"Dickie Jones",48,"Cliff Edwards",40,105,147,90360,1178,0,"boy|conscience|fairy|jiminy cricket|pinocchio",0,"Color","Animation|Family|Fantasy|Musical",1940,"English","USA","Approved",1.37,"http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1",84300000,2600000,7.5,31.42,1,31.4230769230769,1
"58","Match Point ",119,"Woody Allen",11000,"Scarlett Johansson",19000,"Mark Gatiss",567,"Penelope Wilton",400,278,735,166269,20391,0,"extramarital affair|infidelity|irony of fate|surprise ending|tennis",3,"Color","Drama|Romance|Thriller",2005,"English","UK","R",1.85,"http://www.imdb.com/title/tt0416320/?ref_=fn_tt_tt_1",23089926,15000000,7.7,0.54,1,0.5393284,0
"59","Crossroads ",93,"Tamra Davis",33,"Britney Spears",1000,"Katherine Boecher",188,"Dave Allen",135,111,578,34219,1531,0,"audition|friendship|graduation|high school graduation|love",1,"Color","Comedy|Drama",2002,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0275022/?ref_=fn_tt_tt_1",37188667,12000000,3.3,2.1,1,2.09905558333333,1
"60","The Queen ",94,"Stephen Frears",350,"Roger Allam",326,"Sylvia Syms",48,"Alex Jennings",39,280,421,85333,486,0,"monarchy|prime minister|princess diana|queen|speech",0,"Color","Biography|Drama",2006,"English","UK","PG-13",1.85,"http://www.imdb.com/title/tt0436697/?ref_=fn_tt_tt_1",56437947,9800000,7.3,4.76,1,4.75897418367347,1
"62","George of the Jungle ",92,"Sam Weisman",39,"Brendan Fraser",3000,"Abraham Benrubi",562,"Holland Taylor",458,53,103,56168,4518,5000,"animal companion|heiress|hero|jungle|male objectification",0,"Color","Action|Adventure|Comedy|Family|Romance",1997,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0119190/?ref_=fn_tt_tt_1",105263257,55000000,5.4,0.91,1,0.9138774,0
"63","Sense and Sensibility ",136,"Ang Lee",0,"Alan Rickman",25000,"Kate Winslet",14000,"Tom Wilkinson",1000,69,196,78392,41059,0,"1810s|female protagonist|horseback riding|inheritance|three word title",2,"Color","Drama|Romance",1995,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1",42700000,16500000,7.7,1.59,1,1.58787878787879,1
"65","Soul Surfer ",106,"Sean McNamara",80,"Dennis Quaid",2000,"Chris Brochu",795,"Craig T. Nelson",723,110,114,35514,5024,15000,"christian|christian film|shark|surfer|surfing",1,"Color","Biography|Drama|Family|Sport",2011,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1596346/?ref_=fn_tt_tt_1",43853424,18000000,7.1,1.44,1,1.43630133333333,1
"67","A Room with a View ",117,"James Ivory",133,"Julian Sands",687,"Rupert Graves",443,"Denholm Elliott",249,55,94,29610,1665,0,"male nudity|male pubic hair|nude bathing|piano|pubic hair",0,"Color","Drama|Romance",1985,"English","UK","Unrated",1.66,"http://www.imdb.com/title/tt0091867/?ref_=fn_tt_tt_1",20966644,3000000,7.4,5.99,1,5.98888133333333,1
"68","Our Idiot Brother ",90,"Jesse Peretz",37,"Zooey Deschanel",11000,"Adam Scott",3000,"Steve Coogan",1000,179,115,74875,15710,11000,"art model|farmer|jail|nude model|three sisters",1,"Color","Comedy|Drama",2011,"English","USA","R",1.85,"http://www.imdb.com/title/tt1637706/?ref_=fn_tt_tt_1",24809547,5000000,6.4,3.96,1,3.9619094,1
"71","The Big Hit ",91,"Kirk Wong",6,"Bokeem Woodbine",904,"Elliott Gould",471,"Antonio Sabato Jr.",459,57,168,24834,3353,934,"hitman|kidnapping|kosher|vhs|video store",5,"Color","Action|Comedy|Crime|Thriller",1998,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120609/?ref_=fn_tt_tt_1",27052167,13000000,6.1,1.08,1,1.08093592307692,1
"72","Freddy vs. Jason ",97,"Ronny Yu",31,"Katharine Isabelle",918,"Jason Ritter",782,"Zack Ward",662,273,885,89101,4692,3000,"elm street|freddy krueger|jason voorhees|serial killer|slasher",0,"Color","Action|Horror|Thriller",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0329101/?ref_=fn_tt_tt_1",82163317,30000000,5.8,1.74,1,1.73877723333333,1
"74","Nutty Professor II: The Klumps ",109,"Peter Segal",88,"Larry Miller",611,"Janet Jackson",592,"Chris Elliott",571,94,171,39391,2818,374,"alter ego|marriage|professor|scientist|serum",1,"Color","Comedy|Romance|Sci-Fi",2000,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0144528/?ref_=fn_tt_tt_1",123307945,65000000,4.3,0.9,1,0.897045307692308,0
"75","Sleepers ",147,"Barry Levinson",272,"Robert De Niro",22000,"Brad Pitt",11000,"Minnie Driver",893,73,259,154487,37076,0,"boy|guard|kicked in the crotch|prank|sexual abuse",3," Black and White","Crime|Drama|Thriller",1996,"English","USA","R",2.35,"http://www.imdb.com/title/tt0117665/?ref_=fn_tt_tt_1",53300852,44000000,7.5,0.21,0,0.211383,0
"79","My Date with Drew ",90,"Jon Gunn",16,"John August",86,"Brian Herzlinger",23,"Jon Gunn",16,43,84,4285,163,456,"actress name in title|crush|date|four word title|video camera",0,"Color","Documentary",2004,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0378407/?ref_=fn_tt_tt_1",85222,1100,6.6,76.47,1,76.4745454545454,1
"81","Moonraker ",126,"Lewis Gilbert",43,"Desmond Llewelyn",244,"Lois Chiles",202,"Lois Maxwell",177,121,294,69534,1008,0,"astronaut|dog|official james bond series|space shuttle|space shuttle transported on a 747",2,"Color","Action|Adventure|Sci-Fi|Thriller",1979,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0079574/?ref_=fn_tt_tt_1",62700000,34000000,6.3,0.84,1,0.844117647058824,0
"83","The X Files ",121,"Rob Bowman",38,"Martin Landau",940,"Mitch Pileggi",826,"Jeffrey DeMunn",745,142,297,85720,4230,0,"agent|alien|bomb|fbi|government",0,"Color","Drama|Mystery|Sci-Fi|Thriller",1998,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0120902/?ref_=fn_tt_tt_1",83892374,66000000,7,0.27,0,0.271096575757576,0
"84","Juno ",96,"Jason Reitman",655,"J.K. Simmons",24000,"Jennifer Garner",3000,"Rainn Wilson",973,387,881,414335,28817,10000,"adoption|baby|friend|pregnancy|school",0,"Color","Comedy|Drama|Romance",2007,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0467406/?ref_=fn_tt_tt_1",143492840,7500000,7.5,18.13,1,18.1323786666667,1
"85","Grown Ups ",102,"Dennis Dugan",221,"Steve Buscemi",12000,"Adam Sandler",11000,"Salma Hayek",4000,179,311,181443,28497,12000,"basketball|coach|daughter|high school|high school basketball",4,"Color","Comedy",2010,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1375670/?ref_=fn_tt_tt_1",162001186,80000000,6,1.03,1,1.025014825,1
"86","Something's Gotta Give ",128,"Nancy Meyers",278,"Keanu Reeves",18000,"Jon Favreau",4000,"Paul Michael Glaser",343,145,402,91092,22679,0,"beach|dating|doctor|heart attack|weekend",1,"Color","Comedy|Drama|Romance",2003,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0337741/?ref_=fn_tt_tt_1",124590960,80000000,6.7,0.56,1,0.557387,0
"89","Mo' Better Blues ",129,"Spike Lee",0,"Denzel Washington",18000,"Nicholas Turturro",269,"Charlie Murphy",203,23,30,8295,19065,720,"comeback|friend|jazz|stage|trumpet",1,"Color","Drama|Music|Romance",1990,"English","USA","R",1.85,"http://www.imdb.com/title/tt0100168/?ref_=fn_tt_tt_1",16153600,10000000,6.5,0.62,1,0.61536,0
"90","The Adjustment Bureau ",106,"George Nolfi",53,"Matt Damon",13000,"Michael Kelly",963,"Jon Stewart",593,413,407,200035,14607,36000,"love at first sight|obscene finger gesture|rain|teleportation|three word title",2,"Color","Romance|Sci-Fi|Thriller",2011,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1385826/?ref_=fn_tt_tt_1",62453315,50200000,7.1,0.24,0,0.244089940239044,0
"94","March of the Penguins ",80,"Luc Jacquet",10,"Morgan Freeman",11000,"Sofie Gråbøl",108,"Romane Bohringer",34,169,331,45984,11218,0,"chick|emperor penguin|journey|ocean|penguin",0,"Color","Documentary",2005,"French","France","G",1.85,"http://www.imdb.com/title/tt0428803/?ref_=fn_tt_tt_1",77413017,8000000,7.6,8.68,1,8.676627125,1
"98","The Lord of the Rings: The Fellowship of the Ring ",171,"Peter Jackson",0,"Christopher Lee",16000,"Orlando Bloom",5000,"Billy Boyd",857,297,5060,1238746,22342,21000,"elf|hobbit|middle earth|quest|ring",2,"Color","Action|Adventure|Drama|Fantasy",2001,"English","New Zealand","PG-13",2.35,"http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1",313837577,93000000,8.8,2.37,1,2.37459760215054,1
"99","A Nightmare on Elm Street ",101,"Wes Craven",0,"Johnny Depp",40000,"Lin Shaye",852,"Amanda Wyss",574,256,668,149285,42918,10000,"freddy krueger|lucid dream|serial killer|slasher|sleep deprivation",1,"Color","Horror",1984,"English","USA","X",1.85,"http://www.imdb.com/title/tt0087800/?ref_=fn_tt_tt_1",26505000,1800000,7.5,13.73,1,13.725,1
"102","Tadpole ",78,"Gary Winick",56,"Bebe Neuwirth",376,"Aaron Stanford",346,"Ron Rifkin",184,91,101,5178,1144,132,"best friend|boy|french|friend|love",2,"Color","Comedy|Drama|Romance",2000,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0271219/?ref_=fn_tt_tt_1",2882062,150000,6.3,18.21,1,18.2137466666667,1
"104","The Dark Knight Rises ",164,"Christopher Nolan",22000,"Tom Hardy",27000,"Christian Bale",23000,"Joseph Gordon-Levitt",23000,813,2701,1144337,106759,164000,"deception|imprisonment|lawlessness|police officer|terrorist plot",0,"Color","Action|Thriller",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1",448130642,250000000,8.5,0.79,1,0.792522568,0
"105","Nothing to Lose ",98,"Steve Oedekerk",176,"Kelly Preston",742,"Michael McKean",658,"Rebecca Gayheart",468,49,92,36253,2457,0,"boss|ghetto|money|robber|robbery",2,"Color","Action|Adventure|Comedy|Crime",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0119807/?ref_=fn_tt_tt_1",44455658,25000000,6.7,0.78,1,0.77822632,0
"106","The Shadow ",93,"Russell Mulcahy",85,"Jonathan Winters",924,"Peter Boyle",595,"John Kapelos",510,70,146,18723,2711,0,"1930s|bomb|city|invisibility|the shadow",0,"Color","Action|Adventure|Crime|Fantasy|Mystery|Thriller",1994,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0111143/?ref_=fn_tt_tt_1",32055248,25000000,6,0.28,0,0.28220992,0
"107","Snow White and the Seven Dwarfs ",83,"William Cottrell",0,"Adriana Caselotti",82,"Billy Gilbert",47,"Lucille La Verne",31,145,204,133348,229,0,"dwarf|love|princess|queen|snow white",1,"Color","Animation|Family|Fantasy|Musical",1937,"English","USA","Approved",1.37,"http://www.imdb.com/title/tt0029583/?ref_=fn_tt_tt_1",184925485,2000000,7.7,91.46,1,91.4627425,1
"108","It's Complicated ",120,"Nancy Meyers",278,"Meryl Streep",11000,"Hunter Parrish",2000,"Zoe Kazan",963,187,214,69860,15226,0,"affair|divorce|graduation|vomiting|watching television",2,"Color","Comedy|Drama|Romance",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1230414/?ref_=fn_tt_tt_1",112703470,85000000,6.6,0.33,0,0.325923176470588,0
"110","The Intern ",121,"Nancy Meyers",278,"Robert De Niro",22000,"Anne Hathaway",11000,"Rene Russo",808,241,304,130661,36010,54000,"reference to ben affleck|reference to brad pitt|reference to george clooney|reference to jack nicholson|website",2,"Color","Comedy|Drama",2015,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt2361509/?ref_=fn_tt_tt_1",75274748,35000000,7.2,1.15,1,1.15070708571429,1
"111","Tuck Everlasting ",90,"Jay Russell",13,"William Hurt",882,"Sissy Spacek",874,"Jonathan Jackson",613,69,127,17983,2661,0,"fountain of youth|immortality|secret|woods|young man",2,"Color","Drama|Family|Fantasy|Romance",2002,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0283084/?ref_=fn_tt_tt_1",19158074,15000000,6.7,0.28,0,0.277204933333333,0
"115","Darkness ",103,"Jaume Balagueró",57,"Lena Olin",541,"Giancarlo Giannini",451,"Francesc Pagès",132,108,349,16747,1228,1000,"9 year old|blood|gramophone|house|missing children",0,"Color","Horror",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0273517/?ref_=fn_tt_tt_1",22160085,10600000,5.4,1.09,1,1.09057405660377,1
"116","28 Weeks Later ",100,"Juan Carlos Fresnadillo",35,"Jeremy Renner",10000,"Harold Perrineau",1000,"Catherine McCormack",306,274,713,212167,11471,0,"paris france|rage|sniper|u.s. army|zombie apocalypse",1,"Color","Drama|Horror|Sci-Fi",2007,"English","UK","R",1.85,"http://www.imdb.com/title/tt0463854/?ref_=fn_tt_tt_1",28637507,15000000,7,0.91,1,0.909167133333333,0
"117","Peggy Sue Got Married ",103,"Francis Ford Coppola",0,"Nicolas Cage",12000,"Kathleen Turner",899,"Joan Allen",805,44,96,27149,14672,0,"alternate history|alternate timeline|divorce|high school|reunion",0,"Color","Comedy|Drama|Fantasy|Romance",1986,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0091738/?ref_=fn_tt_tt_1",41382841,18000000,6.3,1.3,1,1.29904672222222,1
"118","Hannah Montana: The Movie ",102,"Peter Chelsom",23,"Emily Osment",1000,"Vanessa Williams",1000,"Moises Arias",635,131,140,31760,4516,0,"farm|female protagonist|hannah montana|horseback riding|overalls",2,"Color","Comedy|Drama|Family|Music|Romance",2009,"English","USA","G",1.85,"http://www.imdb.com/title/tt1114677/?ref_=fn_tt_tt_1",79566871,30000000,4.2,1.65,1,1.65222903333333,1
"120","Sinister ",110,"Scott Derrickson",301,"Danielle Kotch",1000,"Victoria Leigh",419,"James Ransone",412,411,524,155153,2239,58000,"book|found footage|research|snuff film|writer",0,"Color","Horror|Mystery",2012,"English","USA","R",2.35,"http://www.imdb.com/title/tt1922777/?ref_=fn_tt_tt_1",48056940,3000000,6.8,15.02,1,15.01898,1
"126","I Got the Hook Up ",93,"Michael Martin",0,"Joe Estevez",625,"Master P",118,"Anthony Johnson",78,19,38,1721,987,280,"friend|obscenity|scam|vacant lot|van",2,"Color","Comedy",1998,"English","USA","R",1.85,"http://www.imdb.com/title/tt0131436/?ref_=fn_tt_tt_1",10305534,3500000,3.9,1.94,1,1.94443828571429,1
"128","Runaway Bride ",116,"Garry Marshall",0,"Julia Roberts",8000,"Christopher Meloni",3000,"Hector Elizondo",995,103,255,74274,12790,0,"bride|columnist|journalist|maryland|wedding",2,"Color","Comedy|Romance",1999,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0163187/?ref_=fn_tt_tt_1",152149590,70000000,5.5,1.17,1,1.17356557142857,1
"129","Knowing ",121,"Alex Proyas",295,"Nicolas Cage",12000,"Ben Mendelsohn",748,"Chandler Canterbury",329,279,791,186879,13421,0,"disaster|end of the world|number|student|time capsule",0,"Color","Drama|Mystery|Sci-Fi|Thriller",2009,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0448011/?ref_=fn_tt_tt_1",79948113,50000000,6.2,0.6,1,0.59896226,0
"132","Hellraiser ",86,"Clive Barker",385,"Andrew Robinson",266,"Ashley Laurence",209,"Clare Higgins",100,203,335,76407,673,0,"blood|cenobites|creature|demon|male full frontal nudity",0,"Color","Fantasy|Horror",1987,"English","UK","R",1.85,"http://www.imdb.com/title/tt0093177/?ref_=fn_tt_tt_1",14564027,1000000,7,13.56,1,13.564027,1
"133","The Muppet Christmas Carol ",89,"Brian Henson",53,"Steven Mackintosh",227,"Jerry Nelson",94,"Steve Whitmire",84,75,147,33850,534,0,"christmas|christmas eve|miser|muppet|scrooge",0,"Color","Comedy|Drama|Family|Fantasy|Musical",1992,"English","USA","G",1.85,"http://www.imdb.com/title/tt0104940/?ref_=fn_tt_tt_1",27281507,12000000,7.7,1.27,1,1.27345891666667,1
"136","The Scorpion King ",100,"Chuck Russell",55,"Dwayne Johnson",12000,"Roger Rees",1000,"Bernard Hill",416,167,432,102129,14611,0,"desert|king|showdown|sorceress|warrior",4,"Color","Action|Adventure|Fantasy|Thriller",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0277296/?ref_=fn_tt_tt_1",90341670,60000000,5.5,0.51,1,0.5056945,0
"137","Spy Hard ",81,"Rick Friedberg",8,"Hulk Hogan",844,"Barry Bostwick",456,"Nicollette Sheridan",341,27,76,29621,2653,588,"1990s|dentist|hit with a door|martial arts|museum",2,"Color","Action|Comedy",1996,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0117723/?ref_=fn_tt_tt_1",26906039,18000000,5.3,0.49,0,0.494779944444444,0
"139","Bridge to Terabithia ",96,"Gabor Csupo",47,"Josh Hutcherson",14000,"Zooey Deschanel",11000,"Bailee Madison",3000,181,522,110390,28071,6000,"bully|friend|imagination|reality|troll",3,"Color","Adventure|Drama|Family|Fantasy",2007,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0398808/?ref_=fn_tt_tt_1",82234139,17000000,7.2,3.84,1,3.83730229411765,1
"142","Meet the Spartans ",86,"Jason Friedberg",82,"Carmen Electra",869,"Diedrich Bader",759,"Method Man",362,111,409,88518,3854,0,"king|persian|spartan|training|xerxes",0,"Color","Comedy",2008,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1073498/?ref_=fn_tt_tt_1",38232624,30000000,2.7,0.27,0,0.2744208,0
